#B站推出青少年模式#,,,,
username,comment,interact,date,likes
鯨落_yu,这样挺好的啊,null,5-30 12:52,
一只Afui,挺好的,null,5-30 12:51,
拢拢的上睫毛,支持小破站,null,5-30 12:51,
也甜kk,我明明不是青少年了 但是我看到就点进去设置了青少年 我也不是很懂我怎么想的,null,5-30 12:50,
七个小僵尸,66666,null,5-30 12:50,
小小笨蛋啦啦啦啦,爱奇艺也有这个模式了,null,5-30 12:50,
楊卋豪,我大学毕业了，首页经常出现李永乐,null,5-30 12:50,
姜义建哪天来娶我,幸好我明天就成年了,null,5-30 12:49,
可乐与可可-,。。。不是好几个视频APP都推出了这个模式吗,null,5-30 12:49,
審驚檳,微博也有青少年模式了,null,5-30 12:48,
sakusu桜,这下不要说我们有小孩子不能看的东西了，父母们长点良心吧，给我们成年人生路啊！！,null,5-30 12:48,1
岐阜提灯,幸亏我早生了几年,null,5-30 12:46,
慵懒的猫Katherine,棒a！！爱死这个小破站了,null,5-30 12:46,
出木杉樱才,幸好马上要成年了,null,5-30 12:45,
小白龙darin,挺好的啊，反正我成年了,null,5-30 12:44,
不要害怕放手去做,我不知道别人家的情况，但是我爸妈根本就不知道这个app的存在，也不知道这些功能，又怎会设置这个功能呢？,null,5-30 12:44,
随意改个名字就好,分级？,null,5-30 12:44,
圆舞曲didadi,顶上去 强烈建议父母给孩子设置,null,5-30 12:44,
大壮今天长到两米了吗,,null,5-30 12:43,
夜半噪声,没看明白，是成年人也要跟未成年人一样的模式吗,null,5-30 12:42,
BjtMjq_Ankytu01,哈哈哈哈反正跟我也没关系,null,5-30 12:42,
CHENQINQINQING,b站🐂🍺,null,5-30 12:42,
揽风怀,挺好的,null,5-30 12:42,
牧童短笛135,棒棒哒,null,5-30 12:41,
L0BETH,温馨提示：密码别设家里人生日,null,5-30 12:41,1
寒冷的金鱼姬,挺好的呀,null,5-30 12:41,
宅家里看书的心虚姐,啊哈哈哈哈哈哈哈成年人可以用嘛,null,5-30 12:40,
Nj墨竹,还挺好的,null,5-30 12:40,
面子鱼,小破站每天都在进步，真棒👍,null,5-30 12:40,
北京永乐电教,酷极了 我爱了,null,5-30 12:39,
红豆布丁烤奶-,@圆味酱mint @南瓜饼子店XX,null,5-30 12:38,
好吃的不能吃太多,还好大家都是成年人了,null,5-30 12:38,
嘉琦z,真好,null,5-30 12:37,
薇苏黎黎,看到超越妹妹了,null,5-30 12:37,
带带大专,舒服了，这下没有pxj了,null,5-30 12:36,
家养橙子酱吧,监护人都不知道b站是啥哈哈哈,null,5-30 12:36,
-mosuqi,可以的！,null,5-30 12:36,
Violeta-1234,我其实觉得成人模式和青少年模式一样重要,null,5-30 12:36,
影舞月光,b站我是看福利的。家长也管这个,null,5-30 12:36,
彬蒂,转发微博,null,5-30 12:34,
苏青琛,不可以啊啊啊啊啊,null,5-30 12:34,
Sirius1103,哭了,null,5-30 12:33,
玛丽苏总裁第一人,哈哈哈哈哈开心，为成年感到开心,null,5-30 12:33,
bearckybaby,点赞,null,5-30 12:33,
无敌帅文文,我心思不是上次更新就出了吗,null,5-30 12:32,
欧洲奶黄包_允在甜豆花,早点分级吧,null,5-30 12:32,
葵小巴,B站这个东西可以死了吗？那么多九年义务教育不过关的,null,5-30 12:31,
Paaaprika,我jio得阔以,null,5-30 12:31,
奶酷奶酷的高赛文,good job！,null,5-30 12:31,
斐姐迷妹,在哪设置啊？？,null,5-30 12:30,
Natural海洋,转发微博,null,5-30 12:29,
侯zh0524,腾讯视频也有,null,5-30 12:28,
哈比Sport,新颖,null,5-30 12:25,
有情儿的多,卸载了重新装是不是这个模式就重置了,null,5-30 12:18,1
蔡子谦谦,火少粉丝？,null,5-30 12:18,
今天退步分子想JNY了吗,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,null,5-30 12:16,
Karanwong,还好刚刚成年了,null,5-30 12:15,
哆啦Y梦超喜欢数学啊,很棒哦,null,5-30 12:08,
冰冰冰并亲了你一下,哈哈哈哈哈,null,5-30 12:05,
李知恩图抱的知恩,我觉得有必要！B站的小学生弹幕太多了实在。这几天在B站看个《情满四合院》，那弹幕根本没眼看，逮谁骂谁，骂了个遍,null,5-30 14:37,
U6nbearable,@于路酒生儿 @绫波零orz @少年与梦fg,null,5-30 17:43,
我的小猪被我弄丢了,,null,5-30 17:39,
肉在其中,@水偶吧是谁偶吧,null,5-30 17:22,
浩浩不忙,,null,5-30 17:03,
42码脚35码鞋,@旧色半新,null,5-30 16:42,
渣浪没有母亲,@feelingshark傲然,null,5-30 16:21,
嘀哩哩哩李,@你别为难我啊啊啊啊,null,5-30 16:03,
特立独行的梨子酱,@请填写昵称不可用也被注册了,null,5-30 15:51,
清木水子,@润机车,null,5-30 15:27,
醉醺醺的马铃薯,@被窝星人琉璃酱_cmt,null,5-30 15:22,
迷之兔美,@熊吉君D,null,5-30 15:11,
记者观察网,转发微博,null,5-30 15:05,
青向阳,各大视频网站都已经有了,null,5-30 15:00,
尼古拉斯winnie,@美啊美_Mwang,null,5-30 14:58,
小喵儿喂,@小秦笙,null,5-30 14:56,
顾里viki,转发微博,null,5-30 14:53,1
海信激光电视,激里呱啦 #B站推出青少年模式# 在该模式，会有一批教育类、知识类内容呈现在首页，对于青少年的健康发展起到良好的影响。这类模式，海信4K激光电视一直都有，内置全新VIDAA AI智能电视系统，首创多屏在线教育闭环服务模式，拥有海量师资资源，让孩子既能收获快乐也能获取知识。,null,5-30 14:43,
_五_花_肉_,不错诶,null,5-30 14:42,
半醉人间53719,西瓜视频也推出了这个青少年模式。,null,5-30 14:41,
聚优汇智,,null,5-30 14:37,
轻寄,@腿音未来 b站小亡子建议开启,共1条回复,5-30 14:36,
owo松饼,这样很好！！！！！每个人都有自己的观影权利！！,null,5-30 14:35,
